ID,Nama Jurusan,Nama PTN,Fakultas,Lokasi,Akreditasi,Peminat 2024,Daya Tampung SNBP 2025,Daya Tampung SNBT 2025,Rasio Keketatan,Lama Studi Rata-rata (Bulan),Tingkat Kelulusan (%),Maks. Waktu Tunggu Kerja (Bulan),Gaji Awal Min,Gaji Awal Max,Prospek Kerja Utama,Prospek Kerja Alternatif,Kebutuhan Industri,Tingkat Persaingan Kerja,Keterampilan Utama,Tingkat Kesulitan,Sumber Data
11,Antropologi Sosial,Universitas Airlangga,FISIP,Surabaya,Baik Sekali,342,18,27,7.6,42,87,52,4300000,8600000,Peneliti,Konsultan Masyarakat,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
12,Kearsipan,Universitas Airlangga,FISIP,Surabaya,Baik,310,16,24,7.8,40,90,42,4000000,8000000,Arsiparis,Document Controller,Tinggi,Rendah,Pengelolaan Arsip,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
13,Ilmu Perpustakaan,Universitas Brawijaya,FIA,Malang,Baik Sekali,368,20,30,7.4,41,90,41,4200000,8400000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://www.kompas.com/edu/read/2024/05/17/121025871/10-ptn-menaikkan-biaya-kuliah-2024-ada-ui-dan-ugm
14,Ekonomi Islam,Universitas Padjadjaran,FEB,Jatinangor,Baik Sekali,546,25,38,8.7,42,89,45,4500000,9000000,Analis Keuangan Syariah,Perbankan Syariah,Tinggi,Menengah,Analisis Ekonomi Islam,Sulit,https://pmm.kampusmerdeka.kemdikbud.go.id/pages/pt/detil/QjVGREYzNDctOTMxRC00NkM4LUJCOTUtMjBCN0IxQzhCNUJB/VGFDM1hOOFRVTythbTNCQXNuZGVLUT09
15,Ilmu Perpustakaan,Universitas Diponegoro,FIB,Semarang,Baik Sekali,352,18,27,7.8,41,90,42,4200000,8400000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://www.brainacademy.id/blog/jurusan-sepi-peminat-di-unair-undip-ub
16,Antropologi Sosial,Universitas Diponegoro,FISIP,Semarang,Baik Sekali,315,17,26,7.3,42,87,52,4200000,8400000,Peneliti,Konsultan Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
17,Ilmu Perpustakaan,Universitas Negeri Semarang,FBS,Semarang,Baik Sekali,328,18,27,7.3,41,90,43,4200000,8400000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
18,Antropologi Sosial,Universitas Negeri Semarang,FIS,Semarang,Baik Sekali,306,17,25,7.3,42,87,53,4100000,8200000,Antropolog,Konsultan Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
19,Ilmu Sejarah,Universitas Negeri Semarang,FIS,Semarang,Baik Sekali,338,18,27,7.5,42,88,50,4000000,8000000,Peneliti Sejarah,Kurator Museum,Menengah,Rendah,Analisis Sejarah,Sedang,https://www.zenius.net/blog/jurusan-snmptn-yang-jarang-diminati/
20,Perpustakaan Digital,Universitas Negeri Malang,Fakultas Vokasi,Malang,Baik,295,15,23,7.7,40,92,38,4000000,8000000,Digital Librarian,Data Manager,Tinggi,Rendah,Teknologi Informasi,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
21,Pendidikan IPS,Universitas Negeri Malang,FIS,Malang,Unggul,512,25,38,8.1,41,90,43,4300000,8600000,Guru IPS,Peneliti Pendidikan,Tinggi,Menengah,Pengajaran,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
22,Ekonomi Islam,Universitas Brawijaya,FEB,Malang,Baik Sekali,534,25,38,8.5,42,89,44,4500000,9000000,Analis Keuangan Syariah,Perbankan Syariah,Tinggi,Menengah,Analisis Ekonomi Islam,Sulit,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
23,Ilmu Perpustakaan,Universitas Sebelas Maret,FISIP,Surakarta,Baik Sekali,332,18,27,7.4,41,90,42,4100000,8200000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
24,Sosiologi,Universitas Sebelas Maret,FISIP,Surakarta,Baik Sekali,415,22,33,7.5,42,88,47,4200000,8400000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
25,Ilmu Politik,Universitas Sebelas Maret,FISIP,Surakarta,Baik Sekali,468,23,35,8.1,42,88,48,4400000,8800000,Analis Politik,Konsultan Politik,Tinggi,Menengah,Analisis Politik,Sedang,https://campus.quipper.com/majors/id-ilmu-politik
26,Ilmu Perpustakaan,Universitas Sumatera Utara,FISIP,Medan,Baik,322,17,26,7.5,41,89,43,4000000,8000000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
27,Antropologi Sosial,Universitas Sumatera Utara,FISIP,Medan,Baik,285,16,24,7.1,42,87,52,4100000,8200000,Antropolog,Konsultan Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
28,Ilmu Perpustakaan,Universitas Negeri Padang,FBS,Padang,Baik,302,16,24,7.6,41,90,43,4000000,8000000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://www.kompas.com/edu/read/2023/03/31/060700471/14-jurusan-sepi-peminat-di-unp-info-daftar-snbt-2023
29,Pendidikan Sosiologi,Universitas Negeri Padang,FIS,Padang,Baik Sekali,428,22,33,7.8,41,89,46,4200000,8400000,Guru Sosiologi,Peneliti Sosial,Tinggi,Menengah,Pengajaran,Sedang,https://www.kompas.com/edu/read/2023/03/31/060700471/14-jurusan-sepi-peminat-di-unp-info-daftar-snbt-2023
30,Ilmu Sejarah,Universitas Negeri Semarang,FIS,Semarang,Baik Sekali,335,18,27,7.4,42,88,50,4000000,8000000,Peneliti Sejarah,Kurator Museum,Menengah,Rendah,Analisis Sejarah,Sulit,https://www.zenius.net/blog/jurusan-snmptn-yang-jarang-diminati/
31,Ilmu Perpustakaan,Universitas Hasanuddin,FISIP,Makassar,Baik Sekali,318,17,26,7.4,41,90,43,4100000,8200000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
32,Antropologi,Universitas Hasanuddin,FISIP,Makassar,Baik Sekali,292,16,24,7.3,42,87,51,4000000,8200000,Antropolog,Peneliti Sosial Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
33,Arkeologi,Universitas Hasanuddin,FIB,Makassar,Baik Sekali,268,15,22,7.3,43,85,58,3900000,7800000,Arkeolog,Peneliti Cagar Budaya,Menengah,Rendah,Ekskavasi,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
34,Ilmu Perpustakaan,Universitas Negeri Yogyakarta,FBS,Yogyakarta,Baik Sekali,345,19,28,7.3,41,90,41,4200000,8400000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
35,Pendidikan IPS,Universitas Negeri Yogyakarta,FIS,Yogyakarta,Unggul,485,24,36,8.1,41,89,44,4300000,8600000,Guru IPS,Peneliti Pendidikan,Tinggi,Menengah,Pengajaran,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
36,Pendidikan Sejarah,Universitas Negeri Yogyakarta,FIS,Yogyakarta,Unggul,432,23,34,7.6,41,88,46,4200000,8400000,Guru Sejarah,Peneliti Sejarah,Tinggi,Menengah,Pengajaran,Sedang,https://pmb.uny.ac.id/program-sarjana/daya-tampung
37,Ilmu Perpustakaan,Universitas Jenderal Soedirman,FISIP,Purwokerto,Baik,315,17,25,7.5,41,89,44,4100000,8200000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
38,Ilmu Perpustakaan,Universitas Negeri Jakarta,FBS,Jakarta,Baik Sekali,376,20,30,7.5,41,90,40,4500000,9000000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://penmaba.unj.ac.id/biaya-pendidikan/
39,Pendidikan IPS,Universitas Negeri Jakarta,FIS,Jakarta,Unggul,542,26,39,8.3,41,89,45,4600000,9200000,Guru IPS,Peneliti Pendidikan,Tinggi,Menengah,Pengajaran,Sedang,https://penmaba.unj.ac.id/kuota-sarjana-sarjana-terapan/
40,Pendidikan Sosiologi,Universitas Negeri Jakarta,FIS,Jakarta,Baik Sekali,478,24,36,8.0,42,88,47,4500000,9000000,Guru Sosiologi,Peneliti Sosial,Tinggi,Menengah,Pengajaran,Sedang,https://penmaba.unj.ac.id/kuota-sarjana-sarjana-terapan/
41,Ilmu Perpustakaan,Universitas Negeri Medan,FBS,Medan,Baik,295,16,24,7.4,41,89,45,4000000,8000000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
42,Pendidikan Antropologi,Universitas Negeri Medan,FIS,Medan,Baik,282,15,23,7.5,42,87,53,4100000,8200000,Guru Antropologi,Peneliti Budaya,Tinggi,Rendah,Pengajaran,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
43,Oseanografi,Institut Teknologi Bandung,FITB,Bandung,Unggul,425,20,30,8.5,45,85,50,5000000,10000000,Peneliti Kelautan,Konsultan Lingkungan,Tinggi,Rendah,Penelitian Laut,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
44,Oseanografi,Universitas Diponegoro,FPIK,Semarang,Baik Sekali,389,19,29,8.1,45,86,48,4800000,9600000,Peneliti Kelautan,Konsultan Lingkungan,Tinggi,Rendah,Penelitian Laut,Sulit,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
45,Ilmu Filsafat,Universitas Gadjah Mada,FIB,Yogyakarta,Baik Sekali,265,15,22,7.2,43,85,60,4000000,8000000,Peneliti,Dosen,Menengah,Rendah,Pemikiran Kritis,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
46,Manajemen Perhotelan,Universitas Pendidikan Indonesia,FPIPS,Bandung,Baik,415,21,31,8.0,41,90,40,4500000,9000000,Manajer Hotel,Event Planner,Tinggi,Menengah,Hospitality,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
47,Pendidikan Sosiologi,Universitas Pendidikan Indonesia,FPIPS,Bandung,Baik Sekali,432,22,33,7.8,42,88,47,4300000,8600000,Guru Sosiologi,Peneliti Sosial,Tinggi,Menengah,Pengajaran,Sedang,https://www.kompas.com/edu/read/2024/01/30/105500771/rincian-biaya-kuliah-ukt-upi-jalur-snbp-di-semua-jurusan
48,Studi Agama-Agama,Universitas Islam Negeri Sunan Kalijaga,Ushuluddin,Yogyakarta,Baik,252,14,21,7.2,42,86,55,4000000,8000000,Peneliti Keagamaan,Konsultan Kerukunan,Menengah,Rendah,Analisis Keagamaan,Sedang,https://span.ptkin.ac.id/daya-tampung
49,Ilmu Perpustakaan,Universitas Islam Negeri Alauddin,Adab dan Humaniora,Makassar,Baik,278,15,23,7.3,41,89,45,4000000,8000000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://span.ptkin.ac.id/daya-tampung
50,Pengembangan Masyarakat Islam,Universitas Islam Negeri Syarif Hidayatullah,Dakwah,Jakarta,Baik Sekali,328,17,26,7.6,42,88,46,4200000,8400000,Community Developer,Konsultan Sosial,Tinggi,Menengah,Pemberdayaan Masyarakat,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
51,Manajemen Transportasi,Universitas Negeri Jakarta,Teknik,Jakarta,Baik,312,16,24,7.8,42,89,42,4500000,9000000,Manajer Transportasi,Perencana Logistik,Tinggi,Menengah,Manajemen Logistik,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
52,Administrasi Keuangan,Universitas Brawijaya,FIA,Malang,Baik Sekali,389,19,29,8.1,41,89,43,4400000,8800000,Pegawai Bank,Tax Consultant,Tinggi,Menengah,Manajemen Keuangan,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
53,Ekonomi Kreatif,Universitas Negeri Surabaya,FE,Surabaya,Baik,372,18,27,8.3,41,90,40,4500000,9000000,Entrepreneur,Manajer Industri Kreatif,Tinggi,Menengah,Kreativitas Bisnis,Sedang,https://admisi.unesa.ac.id/page/pendaftar-tiap-tahun
54,Aktuaria,Universitas Negeri Jakarta,MIPA,Jakarta,Baik Sekali,283,14,21,8.1,45,82,39,5000000,12000000,Aktuaris,Analis Risiko,Tinggi,Rendah,Statistik,Sulit,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
55,Destinasi Pariwisata,Universitas Udayana,Fakultas Pariwisata,Denpasar,Baik Sekali,324,17,25,7.7,40,91,35,4500000,9000000,Manajer Pariwisata,Travel Consultant,Tinggi,Menengah,Manajemen Pariwisata,Sedang,https://www.unud.ac.id/in/fakultas11-Fakultas%20Pariwisata.html
56,Antropologi,Universitas Halu Oleo,FISIP,Kendari,Baik,246,14,21,7.0,42,87,55,3800000,7800000,Antropolog,Peneliti Sosial,Menengah,Rendah,Penelitian Lapangan,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
57,Arkeologi,Universitas Halu Oleo,FIB,Kendari,Baik,228,13,20,6.9,43,85,58,3800000,7600000,Arkeolog,Kurator Museum,Menengah,Rendah,Ekskavasi,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
58,Arkeologi,Universitas Jambi,FIB,Jambi,Baik,254,14,21,7.3,43,85,57,3900000,7800000,Arkeolog,Peneliti Cagar Budaya,Menengah,Rendah,Ekskavasi,Sedang,https://id.prosple.com/campus/8-jurusan-kuliah-ips-yang-jarang-diminati-oleh-mahasiswa
59,Pendidikan Antropologi,Universitas Negeri Papua,FKIP,Manokwari,Baik,219,12,18,7.3,42,86,55,3800000,7600000,Guru Antropologi,Peneliti Sosial,Menengah,Rendah,Pengajaran,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
60,Ilmu Perpustakaan,Universitas Lancang Kuning,FISIP,Pekanbaru,Baik,265,15,22,7.2,41,88,45,3900000,7800000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
61,Ilmu Perpustakaan,Universitas Tanjungpura,FISIP,Pontianak,Baik,289,16,24,7.2,41,89,44,4000000,8000000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://tirto.id/berapa-biaya-ukt-terendah-dan-tertinggi-tahun-2024-gYVc
62,Pendidikan Sosiologi,Universitas Tanjungpura,FKIP,Pontianak,Baik,304,16,24,7.6,42,88,47,4100000,8200000,Guru Sosiologi,Peneliti Sosial,Tinggi,Menengah,Pengajaran,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
63,Antropologi,Universitas Lambung Mangkurat,FISIP,Banjarmasin,Baik,243,14,21,7.0,42,87,53,3900000,7800000,Antropolog,Peneliti Sosial,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
64,Pendidikan IPS,Universitas Lambung Mangkurat,FKIP,Banjarmasin,Baik Sekali,378,19,29,7.9,41,89,45,4200000,8400000,Guru IPS,Peneliti Pendidikan,Tinggi,Menengah,Pengajaran,Sedang,https://seleksi.um.ac.id/program-studi-dan-daya-tampung-sarjana/
65,Ilmu Politik,Universitas Mulawarman,FISIP,Samarinda,Baik,342,18,27,7.6,42,88,48,4200000,8400000,Analis Politik,Konsultan Politik,Tinggi,Menengah,Analisis Politik,Sedang,https://campus.quipper.com/majors/id-ilmu-politik
66,Sosiologi,Universitas Mulawarman,FISIP,Samarinda,Baik,293,16,24,7.3,42,87,50,4100000,8200000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
67,Antropologi,Universitas Nusa Cendana,FISIP,Kupang,Baik,218,13,20,6.6,42,86,54,3800000,7600000,Antropolog,Peneliti Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
68,Pendidikan Sejarah,Universitas Nusa Cendana,FKIP,Kupang,Baik,256,15,22,6.9,41,87,50,4000000,8000000,Guru Sejarah,Peneliti Sejarah,Tinggi,Menengah,Pengajaran,Sedang,https://www.zenius.net/blog/jurusan-snmptn-yang-jarang-diminati/
69,Ilmu Perpustakaan,Universitas Sam Ratulangi,FISIP,Manado,Baik,262,15,22,7.1,41,89,44,4000000,8000000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
70,Antropologi,Universitas Sam Ratulangi,FISIP,Manado,Baik,226,13,20,6.9,42,87,52,3900000,7800000,Antropolog,Peneliti Sosial Budaya,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
71,Pendidikan Antropologi,Universitas Negeri Manado,FIS,Manado,Baik,235,14,21,6.7,42,86,53,3900000,7800000,Guru Antropologi,Peneliti Sosial,Tinggi,Rendah,Pengajaran,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
72,Pendidikan Sosiologi,Universitas Negeri Manado,FIS,Manado,Baik,284,15,23,7.5,42,87,50,4000000,8000000,Guru Sosiologi,Peneliti Sosial,Tinggi,Menengah,Pengajaran,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
73,Ilmu Perpustakaan,Universitas Cenderawasih,FISIP,Jayapura,Baik,238,14,21,6.8,41,88,46,3900000,7800000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
74,Antropologi,Universitas Cenderawasih,FISIP,Jayapura,Baik,204,12,18,6.8,42,86,55,3800000,7600000,Antropolog,Peneliti Budaya Papua,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
75,Ilmu Komunikasi,Universitas Tadulako,FISIP,Palu,Baik Sekali,392,20,30,7.8,41,89,45,4200000,8400000,Public Relations,Media Planner,Tinggi,Menengah,Komunikasi,Sedang,https://kampus.republika.co.id/info-kampus/1622914292/Referensi-SNBP-2023-Ini-Daya-Tampung-dan-Peminat-Prodi-Komunikasi-31-PTN-di-Jawa
76,Sosiologi,Universitas Tadulako,FISIP,Palu,Baik,276,15,23,7.3,42,87,51,4000000,8000000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
77,Ilmu Perpustakaan,Universitas Bengkulu,FISIP,Bengkulu,Baik,252,14,21,7.2,41,89,44,4000000,8000000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
78,Pendidikan Sosiologi,Universitas Bengkulu,FKIP,Bengkulu,Baik,286,15,23,7.5,42,88,48,4100000,8200000,Guru Sosiologi,Peneliti Sosial,Tinggi,Menengah,Pengajaran,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
79,Ilmu Perpustakaan,Universitas Syiah Kuala,FISIP,Banda Aceh,Baik Sekali,268,15,22,7.3,41,89,43,4100000,8200000,Pustakawan,Information Manager,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
80,Sosiologi,Universitas Syiah Kuala,FISIP,Banda Aceh,Baik,291,16,24,7.3,42,88,49,4200000,8400000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
81,Antropologi,Universitas Syiah Kuala,FISIP,Banda Aceh,Baik,243,14,21,7.0,42,87,52,4000000,8000000,Antropolog,Peneliti Budaya Aceh,Menengah,Rendah,Penelitian Lapangan,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
82,Ilmu Politik,Universitas Riau,FISIP,Pekanbaru,Baik Sekali,362,19,29,7.5,42,88,47,4300000,8600000,Analis Politik,Konsultan Politik,Tinggi,Menengah,Analisis Politik,Sulit,https://www.kompas.com/edu/read/2024/05/17/121025871/10-ptn-menaikkan-biaya-kuliah-2024-ada-ui-dan-ugm
83,Sosiologi,Universitas Riau,FISIP,Pekanbaru,Baik,284,15,23,7.5,42,87,50,4100000,8200000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
84,Pendidikan Antropologi,Universitas Riau,FKIP,Pekanbaru,Baik,226,13,20,6.9,42,86,53,4000000,8000000,Guru Antropologi,Peneliti Sosial,Tinggi,Rendah,Pengajaran,Sedang,https://www.brainacademy.id/blog/jurusan-ini-sepi-peminat-tapi-berprospek-kerja-menjanjikan
85,Ilmu Perpustakaan,Universitas Sriwijaya,FISIP,Palembang,Baik Sekali,278,15,23,7.3,41,89,43,4100000,8200000,Pustakawan,Information Analyst,Tinggi,Rendah,Pengelolaan Informasi,Sedang,https://mintailmu.com/7-jurusan-yang-sedikit-peminat-tapi-peluang-kerja-besar/
86,Sosiologi,Universitas Sriwijaya,FISIP,Palembang,Baik,309,16,24,7.7,42,88,48,4200000,8400000,Sosiolog,Peneliti Sosial,Menengah,Rendah,Analisis Sosial,Sedang,https://id.jobstreet.com/id/career-advice/article/prospek-kerja-jurusan-sosiologi-kisaran-gaji
87,Ilmu Politik,Universitas Sriwijaya,FISIP,Palembang,Baik,332,18,27,7.4,42,88,47,4300000,8600000,Analis Politik,Konsultan Politik,Tinggi,Menengah,Analisis Politik,Sedang,https://campus.quipper.com/majors/id-ilmu-politik
